,original,normalized
833,Nghĩ mãi mới dám ib đòi 1 lần mà nửa năm rồi người ta đọc nhưng ko rep,Nghĩ mãi mới dám ib đòi 1 lần mà nửa năm rồi người ta đọc nhưng không rep
834,làm sao để biết có lịch tổ chức để tgia vậy ạ,làm sao để biết có lịch tổ chức để tham gia vậy ạ
835,Chạy khét lẹt à ép xe ô tô luôn chứ ko đùa,Chạy khét lẹt à ép xe ô tô luôn chứ không đùa
836,mua mụt con dìa nuôi i chị=)),mua một con về nuôi đi chị=))
837,bạn thấy tôy có chiển zọng làm diễn viên Disney hôk vậy?,bạn thấy tôi có triển vọng làm diễn viên Disney không vậy?
838,"trúk mừnk vanentin nka vk ju, m4~j m4~j ju 3m","chúc mừng vanentin nha vợ yêu, mãi mãi yêu em"
839,"Mấy ng vay tiền mình còn hướng nội hơn mình, mình nhắn tin đòi nhưng ko trả lời gì hết  chắc sợ mình giận","Mấy người vay tiền mình còn hướng nội hơn mình, mình nhắn tin đòi nhưng không trả lời gì hết  chắc sợ mình giận"
840,trc khi lấy vk 65 kg sau khi lấy vk gần 85 kg,trước khi lấy vợ 65 kg sau khi lấy vợ gần 85 kg
841,Ko phải tôi nhé tôi 32t rồi chủ tus còn phải gọi tôi bằng a đấy,Không phải tôi nhé tôi 32t rồi chủ tus còn phải gọi tôi bằng anh đấy
842,Chưa chăc vào hôn nhân sẽ hp nhé.,Chưa chắc vào hôn nhân sẽ hạnh phúc nhé.
843,khum biết giờ mình mượn tiền bạn cóa k ?,không biết giờ mình mượn tiền bạn có không ?
844,Cuối năm chs ném bóng nước xé bảng tên vs ôm nhau lầm cuối vì bị đúp,Cuối năm chơi ném bóng nước xé bảng tên với ôm nhau lầm cuối vì bị đúp
845,"Đây nhà t ngay tân sơn nhất, năm đấy đg lon ton chạy xe đi ôn thi các kiểu với hay đi khuya trên xa lộ đại hàn lẫn quốc lộ 1a.","Đây nhà tôi ngay tân sơn nhất, năm đấy đang lon ton chạy xe đi ôn thi các kiểu với hay đi khuya trên xa lộ đại hàn lẫn quốc lộ 1a."
846,Mình vn củng vậy kakka,Mình vn cũng vậy kakka
847,"Tín hiệu zũ trụ, ngày 1 này t cũng đi coi concert nè, ở nước ngoài và là lần đầu tiên t đi, lúc đầu cũng phân vân suy nghĩ có nên đi ko do cũng hơi sợ nhưng sau thì t vẫn chốt vé, đặt phòng các thứ xong r.","Tín hiệu vũ trụ, ngày 1 này tôi cũng đi coi concert nè, ở nước ngoài và là lần đầu tiên tôi đi, lúc đầu cũng phân vân suy nghĩ có nên đi không do cũng hơi sợ nhưng sau thì tôi vẫn chốt vé, đặt phòng các thứ xong rồi."
848,bị mượn tiền nhiều lần k thể lấy lại,bị mượn tiền nhiều lần không thể lấy lại
849,Tao còn chỉ ước gì ck tao chịu đi làm lương 5tr cũng đc,Tao còn chỉ ước gì chồng tao chịu đi làm lương 5tr cũng được
850,ít nhất thì cả 2 đứa cũng đủ thân để giãy bày,ít nhất thì cả 2 đứa cũng đủ thân để giãi bày
851,"4 tháng tuổi tụi này bíc phán xét cả thiên hạ, tô đỏ bản thân gùi đó ?!","4 tháng tuổi tụi này biết phán xét cả thiên hạ, tô đỏ bản thân rồi đó ?!"
852,ông áo đen chắc hỏn lọn lắm:),ông áo đen chắc hoảng loạn lắm:)
853,Giống ce mh  mượn vài triệu thì lúc nào nó cũng sẵn còn hơn thì làm j có  toàn nghèo như nhau,Giống chị em mình mượn vài triệu thì lúc nào nó cũng sẵn còn hơn thì làm gì có toàn nghèo như nhau
854,"Mình có vài người bạn, ai cx tốt nhưng trước sinh nhật bất kì đứa nào thì cx có cuộc cãi vã","Mình có vài người bạn, ai cũng tốt nhưng trước sinh nhật bất kì đứa nào thì cũng có cuộc cãi vã"
855,Có cả mực Bento t mới ăn hôm qua,Có cả mực Bento tôi mới ăn hôm qua
856,các em thấy toi như lào,các em thấy tôi như nào
857,mai mặc thử váy body k ck,mai mặc thử váy body không chị
858,Sắp tới sn mình r liệu b có thể tặng tôi đôi giày đbong mớiii,sắp tới sinh nhật mình rồi liệu bạn có thể tặng tôi đôi giày đá bóng mới
859,có nhà khong mà phải sang nhà nó ngủ,có nhà không mà phải sang nhà nó ngủ
860,Nghe bảo phần sau đáng xợ lắm huhu,Nghe bảo phần sau đáng sợ lắm huhu
861,Trương Gia Nghê đẹp vãiiii,Trương Gia Nghê đẹp vãi
862,thứ t với m cần ngay lúc này,thứ tao với mày cần ngay lúc này
863,Đả ngu còn tỏ ra nguy hiểm,Đã ngu còn tỏ ra nguy hiểm
864,Vậy nên chúng ta là miếng ghép hoàn hảo của nhao,Vậy nên chúng ta là miếng ghép hoàn hảo của nhau
865,T thấy bọn đài nhiều người cụng mang túi này,Tôi thấy bọn đài nhiều người cũng mang túi này
866,Phấn đấu 3 năm lương từ 5tr lên 6tr5 thì ko biết bao giờ mới được hơn 10tr để lấy vợ đây :(((,Phấn đấu 3 năm lương từ 5tr lên 6tr5 thì không biết bao giờ mới được hơn 10tr để lấy vợ đây :(((
867,Còn tui mới có 1 đứa thoi,Còn tui mới có 1 đứa thôi
868,"Nhớ show quá, xem lại thoyyyy","Nhớ show quá, xem lại thôi"
869,bạn môi của m đâu r,bạn môi của mày đâu rồi
870,k hỉu s lọt vào tai luôn á:)),không hiểu sao lọt vào tai luôn á:))
871,chất son thì kh xịn lắm với phải chịu khó tán kĩ nhưng được quả màu đánh lên chỉ có vibe dì ghẻ ák độk =)),chất son thì không xịn lắm với phải chịu khó tán kĩ nhưng được quả màu đánh lên chỉ có vibe dì ghẻ ác độc =))
872,Tôi vứt hoa xuống đất òa khók rồi pỏ chại sau đó là 7749 cảnh khók dưới mưa sâu đíp,Tôi vứt hoa xuống đất òa khóc rồi bỏ chạy sau đó là 7749 cảnh khóc dưới mưa sâu đíp
873,Đây còn đi đòi nợ hộ lão ck,Đây còn đi đòi nợ hộ lão chồng
874,nó đang lím đuýt :>,nó đang liếm đít :>
875,sao bằng thiếu 0.5 đậu đh hhaha,sao bằng thiếu 0.5 đậu đại học hhaha
876,rồi làm sao để đi concert của bà z ?,rồi làm sao để đi concert của bà vậy ?
877,rồi có dô nổi hok nếu có xin thánh nhân truyền lại,rồi có vô nổi không nếu có xin thánh nhân truyền lại
878,en nói xè lơ :))),ăn nói xà lơ :)))
879,Mẹ lại quỳ xg xin lỗi sớm,Mẹ lại quỳ xuống xin lỗi sớm
880,Cây mãng cầu ở nhà tới công chiện với chuỵ,Cây mãng cầu ở nhà tới công chuyện với chị
881,tr ơi cx muốn dính lắm mà sợ ngt đục,trời ơi cũng muốn dính lắm mà sợ người ta đục
882,Thường mấy thằng mà vay Fe thì thường là mấy thằng ko có khả năng chi trả là nhiều nên tụi nó thường rất manh động và liều mạng,Thường mấy thằng mà vay Fe thì thường là mấy thằng không có khả năng chi trả là nhiều nên tụi nó thường rất manh động và liều mạng
883," e, phần thưởng quá xứng đáng cho sự nỗ lực ko ngừng","em, phần thưởng quá xứng đáng cho sự nỗ lực không ngừng"
884,"Gà said "" Ba năm tam tai không bằng năm này thái tuế, sao mâm nào cũng có tui hết dẫy"" :)))","Gà nói "" Ba năm tam tai không bằng năm này thái tuế, sao mâm nào cũng có tui hết vậy"" :)))"
885,"Nhất định phải có cviec riêng, để tiền muốn tiêu j thì tiêu, nhưng chuyện gđ, con cái ck k biết là dở r","Nhất định phải có công việc riêng, để tiền muốn tiêu gì thì tiêu, nhưng chuyện gia đình, con cái chồng không biết là dở rồi"
886,cách đổi đời mau chóng mặt zậy lun nè,cách đổi đời mau chóng mặt vậy luôn nè
887,ấy cu e tôi cũng xịt hơi cay đấy nhưng k trộm,ấy cu em tôi cũng xịt hơi cay đấy nhưng không trộm
888,"Dạo này thấy bố có vẻ tăng cân, "" mới uống ké  hết gần hộp sữa bột của Đậu thui ""","Dạo này thấy bố có vẻ tăng cân, "" mới uống ké  hết gần hộp sữa bột của Đậu thôi """
889,may quá lương mình 11 tr .,may quá lương mình 11 triệu .
890,mạnh dạn lên bạn êi,mạnh dạn lên bạn ơi
891,sàn vsinh 7 sắc cầu vồng,sàn vệ sinh 7 sắc cầu vồng
892,Hqua cầm 2$ mua bịch tráng trộn cùng ly hồng trà,Hôm qua cầm 2$ mua bịch tráng trộn cùng ly hồng trà
893,cbi tinh thần về quê thui tình yêu ơi,chuẩn bị tinh thần về quê thôi tình yêu ơi
894,phải lách luật mới đc,phải lách luật mới được
895,Th chọn 2 anh cho đỡ đao đầu,Thôi chọn 2 anh cho đỡ đau đầu
896,ngày hôm đó toi đã cừi thậc nhiều :))))))))),ngày hôm đó tôi đã cười thật nhiều :)))))))))
897,Thằng óc chó này trông con thế ah.,Thằng óc chó này trông con thế à.
898,"Sao trước ce tung hô bảo chỉ cần lấy giống tây cho con đẹp là được, giờ thì khóc thuê làm gì","Sao trước chị em tung hô bảo chỉ cần lấy giống tây cho con đẹp là được, giờ thì khóc thuê làm gì"
899,tui ngồi tui nghe thuiii,tui ngồi tui nghe thôi
900,Chỉ chờ có ai phốt j thì đc dịp tạo nghiệp k à,Chỉ chờ có ai phốt gì thì được dịp tạo nghiệp không à
901,Việc c cần làm không phải là thay đổi bản thân mà là đổi chồng,Việc cậu cần làm không phải là thay đổi bản thân mà là đổi chồng
902,Đề nghị đại xứ quán có công dân của mình căn nhắc dân mình chấp hành nghiêm chỉnh luật lệ giao thông ở VN.,Đề nghị đại sứ quán có công dân của mình căn nhắc dân mình chấp hành nghiêm chỉnh luật lệ giao thông ở VN.
903,"nghe chưa, dô tri hưởng thái bình","nghe chưa, vô tri hưởng thái bình"
904,600k/kg phải t thì t cũng nguyện gọt 24h/ ngày nha,600k/kg phải tôi thì tôi cũng nguyện gọt 24h/ ngày nha
905,"Kể ra cấp 3 vọc hóa banh nhiệt kế, thủy ngân bay vô mắt chứ k vô tay có tính là may k ta","Kể ra cấp 3 vọc hóa banh nhiệt kế, thủy ngân bay vô mắt chứ không vô tay có tính là may không ta"
906,"nghĩ về tương lai, cuộc sống sau nài","nghĩ về tương lai, cuộc sống sau này"
907,Theo như kịch bản thì ny e đang học lớp 7,Theo như kịch bản thì người yêu em đang học lớp 7
908,sao nói như e vs c nói v,sao nói như em với chị nói vậy
909,19 tuổi tao đang vác vòi bơm btong ở nhà máy Xi Măng.!,19 tuổi tao đang vác vòi bơm bê tông ở nhà máy Xi Măng.!
910,"Thì t nghĩ hầu hết đều kiểu nhan khống , t cx k ngoại lệ nên k thíc mấy kỉu phim này, chứ kể phim có tệ mấy mà tuấn nam mỹ nữ đóng t vẫn coi hahhaha","Thì tôi nghĩ hầu hết đều kiểu nhan khống , tôi cũng không ngoại lệ nên không thích mấy kiểu phim này, chứ kể phim có tệ mấy mà tuấn nam mỹ nữ đóng tôi vẫn coi hahhaha"
911,"Xe ôm bây giờ toàn cử nhân với thạc sĩ, ghê thặc","Xe ôm bây giờ toàn cử nhân với thạc sĩ, ghê thật"
912,"Vd nếu còn nhà thuê , sống ở tp , con cái học hành , thì 10tr là lương mặt bằng chung của các em ra trường rồi ấy , nuôi bản thân ko đủ lấy đâu ra lập gia đình .","Ví dụ nếu còn nhà thuê , sống ở thành phố , con cái học hành , thì 10tr là lương mặt bằng chung của các em ra trường rồi ấy , nuôi bản thân không đủ lấy đâu ra lập gia đình ."
913,câu chuyện muôn thuở ko bao h thực hịn,câu chuyện muôn thuở không bao giờ thực hiện
914,nữa r cringe từ lúc mới ra đến giờ vẫn cringe,nữa rồi cringe từ lúc mới ra đến giờ vẫn cringe
915,so sánh khập khiễng thế thì chịu r,so sánh khập khiễng thế thì chịu rồi
916,em làm đc r nè ăn ngon lắm á,em làm được rồi nè ăn ngon lắm á
917,xai trính tã kó síu hoy mừ làm thí gke,sai chính tả có xíu thôi mà làm thấy ghê
918,hơi ngột ngạt chút nma được cái kh tốn tiền=)),hơi ngột ngạt chút nhưng mà được cái không tốn tiền=))
919,Z mà nhiều đứa lộn quài,Vậy mà nhiều đứa lộn hoài
920,hạt giống của vn thật tuyệt vời e xứng đáng nhận những phần quà của mạnh thường quân.,hạt giống của vn thật tuyệt vời em xứng đáng nhận những phần quà của mạnh thường quân.
921,gớm qaa mà đòi mua,gớm quá mà đòi mua
922,T hồi xưa c1 đến trái bàng tụi t còn quất hết huống chi xoài,Tôi hồi xưa c1 đến trái bàng tụi tôi còn quất hết huống chi xoài
923,chủ thớt bịa chuyện đúng ko ng bình thường sao đạt nổi ts trình độ ni,chủ thớt bịa chuyện đúng không người bình thường sao đạt nổi tới trình độ này
924,kể ra kiếm đc chỗ mass ntn t đi mass suốt hí hí,kể ra kiếm được chỗ mass ntn tôi đi mass suốt hí hí
925,Chứ em t mà bới bới t cũng mắng cho ý ,Chứ em tôi mà bới bới tôi cũng mắng cho ý
926,"Đồng cảm vs các nhân vật ở trên 1 thứ là bây h mình mà dừng lại, mình ko biết mình sẽ làm gì, khi mà cv nó là 1 phần trong cs của mình r","Đồng cảm với các nhân vật ở trên 1 thứ là bây giờ mình mà dừng lại, mình không biết mình sẽ làm gì, khi mà công việc nó là 1 phần trong cuộc sống của mình rồi"
927,Còn mình biết thế thì k ăn món đó nữa,Còn mình biết thế thì không ăn món đó nữa
928,Mắc gì bới lên thế  đọc tiêu đề ko t tưởng ko ăn được thịt mỡ là vô duyên,Mắc gì bới lên thế  đọc tiêu đề không tôi tưởng không ăn được thịt mỡ là vô duyên
929,công thức nước sốt gồm những j ạ,công thức nước sốt gồm những gì ạ
930,ai dẫy tên j dẫy,ai vậy tên gì vậy
931,"Ra đường giờ camera đầy đương , nên làm gì cũng cần dùng não ,,, chia buồn vs gia đình a zai lại phải quỳ lạy van xin rồi","Ra đường giờ camera đầy đường , nên làm gì cũng cần dùng não ,,, chia buồn với gia đình anh trai lại phải quỳ lạy van xin rồi"
932,Tao hn ăn vs đi ship trà mãng cầu,Tao hn ăn với đi ship trà mãng cầu
933,Pkl k xấu ý thức mới xấu,Pkl không xấu ý thức mới xấu
934,Cần gì tưởng tưởng bởi vì toi đi tới đâu drama theo tới đó :)))),Cần gì tưởng tưởng bởi vì tôi đi tới đâu drama theo tới đó :))))
935,"Hồi đó khách hỏi e đều trả lời em có 2 bé, còn giờ em sẵn sàng trả lời một câu chính xác thì không ai hỏi","Hồi đó khách hỏi em đều trả lời em có 2 bé, còn giờ em sẵn sàng trả lời một câu chính xác thì không ai hỏi"
936,"Sao tui thích nét của Ngô Thiến quá, nhìn hiền hiền đáng yêu kiểu gì í.","Sao tôi thích nét của Ngô Thiến quá, nhìn hiền hiền đáng yêu kiểu gì í."
937,giữ sức khỏe các cậu nhó,giữ sức khỏe các cậu nhé
938,gà nhà k thiếu chỉ thiếu măng cuut,gà nhà không thiếu chỉ thiếu măng cụt
939,"Toi không một mình, tới concert toi có họ, và tất cả những người ở đó đều chung tình yêu với họ giống toi, tôi sẵn sàng đi concert 1 mình và quẩy với 1300% năng lượng","Tôi không một mình, tới concert tôi có họ, và tất cả những người ở đó đều chung tình yêu với họ giống tôi, tôi sẵn sàng đi concert 1 mình và quẩy với 1300% năng lượng"
940,Bày 1 mâm toàn món khoái khẩu trc mặt,Bày 1 mâm toàn món khoái khẩu trước mặt
941,t chia cuốn hoá pt của t cho dễ mang chứ ko phải nó rớt trang nha,tôi chia cuốn hoá pt của tôi cho dễ mang chứ không phải nó rớt trang nha
942,drama cuộc đời sau khi thi đh???,drama cuộc đời sau khi thi đại học???
943,nhiều khi cũng xi nghĩ,nhiều khi cũng suy nghĩ
944,nhanh dữ vậy mí bà tui bất ngờuln ấy,nhanh dữ vậy mấy bà tui bất ngờ luôn ấy
945,hỡi nhưng người bạn séc thiện lành :))),hỡi nhũng người bạn séc thiện lành :)))
946,"2521, là chữa lành dữ òi đó :))))))","2521, là chữa lành dữ rồi đó :))))))"
947,"Đến nhà ngkhac ăn mà có đĩa thịt cả nạc cả mỡ là k dám động vào, auto ăn rau","Đến nhà ngkhac ăn mà có đĩa thịt cả nạc cả mỡ là không dám động vào, auto ăn rau"
948,Ê hok ấy mình đạp xe cho nhanh,Ê không ấy mình đạp xe cho nhanh
949,Đòi còn sợ hơn ng ta cướp,Đòi còn sợ hơn người ta cướp
950,ngủ nhiều ngủ zai ngủ dậy chuột rút,ngủ nhiều ngủ dai ngủ dậy chuột rút
951,"Biết là nó k hay bằng bản gốc r, nhưng mà t cx hơi thất vọng chắc tại đặt nhiều kì vọng quá","Biết là nó không hay bằng bản gốc rồi, nhưng mà tôi cũng hơi thất vọng chắc tại đặt nhiều kì vọng quá"
952,vào đọc giải trí bạn êi,vào đọc giải trí bạn ơi
953,đc mấy cái biết còn đâu ko hiểu cái j luôn,được mấy cái biết còn đâu không hiểu cái gì luôn
954,Lấy bọc thực phẩm bọc phần cắt rồi bỏ  ngăn mát ăn đến đâu bổ ra đến đấy nó ko bị hư,Lấy bọc thực phẩm bọc phần cắt rồi bỏ  ngăn mát ăn đến đâu bổ ra đến đấy nó không bị hư
955,"đi thực tập bên này ik bạn, trông có vẻ hợp","đi thực tập bên này đi bạn, trông có vẻ hợp"
956,cố gắng sửa để quen anh mới không tái phạm nhé mà thôi cố gắng xl anh ny đi chứ lỡ ra dính ..,cố gắng sửa để quen anh mới không tái phạm nhé mà thôi cố gắng xin l ỗi anh người yêu đi chứ lỡ ra dính ..
957,"chị là người vk tốt,nhưng mỗi người là mỗi cá thể riêng biệt nên có chuyện gì thì cứ nói thẳng với nhau,đè nén làm gì nhỉ.","chị là người vợ tốt,nhưng mỗi người là mỗi cá thể riêng biệt nên có chuyện gì thì cứ nói thẳng với nhau,đè nén làm gì nhỉ."
958,Thức dậy xinh như những nàng công túa,Thức dậy xinh như những nàng công chúa
959,"E đi đâu ai chả nói câu tự nhiên như ở nhà, vậy mà cũng tin","Em đi đâu ai chả nói câu tự nhiên như ở nhà, vậy mà cũng tin"
960,Đây mới giống con mèo của t này :)))),Đây mới giống con mèo của tôi này :))))
961,"ê ê, mqh mới này ok nè","ê ê, mối quan hệ mới này ok nè"
962,"Vào mình, mình sẽ gắp miếng đó cho ngêu xong gắp miếng thịt cho mình, vừa đuọc tiếng chiều nyêu","Vào mình, mình sẽ gắp miếng đó cho người yêu xong gắp miếng thịt cho mình, vừa được tiếng chiều người yêu"
963,đến giờ ovtk r ó,đến giờ ovtk rồi á
964,ở mk cx có thì hay nhỉ,ở mình cũng có thì hay nhỉ
965,Mụt chút chec trong tim,Một chút chết trong tim
966,Còn dzú của tôi nữa,Còn vú của tôi nữa
967,"Bà Ella gánh team về chất giọng mà nay bả để tóc dài nhìn khum quen so vs xưa, nhưng S.H.E mãi đỉnh nhâ","Bà Ella gánh team về chất giọng mà nay bả để tóc dài nhìn không quen so với xưa, nhưng S.H.E mãi đỉnh nha"
968,c này hay xem mấy cái chữa lành lắm nè,cậu này hay xem mấy cái chữa lành lắm nè
969,"cs hôn nhân ko có màu hồng đâu,cùng suy nghĩ lại biết đâu ông thay đổi lại hạnh phúc!","cuộc sống hôn nhân không có màu hồng đâu,cùng suy nghĩ lại biết đâu ông thay đổi lại hạnh phúc!"
970,dị là hông đc r,vậy là hông được rồi
971,T có bà chị đi thi đh vào sg mang theo đủ bộ skincare các bước trang điểm nhưng quên mang giấy tờ để dự thi,Tôi có bà chị đi thi đại học vào sg mang theo đủ bộ skincare các bước trang điểm nhưng quên mang giấy tờ để dự thi
972,"tui từng vậy trong thời gian ngắn, đi học về là đâm đầu đi làm, chạy bục mạng để kịp giờ cho cv tiếp theo","tui từng vậy trong thời gian ngắn, đi học về là đâm đầu đi làm, chạy bục mạng để kịp giờ cho công việc tiếp theo"
973,hồi nhỏ đi theo gđ cúng mà sặc mùi nhang =)),hồi nhỏ đi theo gia đình cúng mà sặc mùi nhang =))
974,"Cho xin cái địa chỉ face và thông tin nhà thằng chó này vào chửi cái, dc nó","Cho xin cái địa chỉ face và thông tin nhà thằng chó này vào chửi cái, được nó"
975,Mới thi xong toán cao cấp mà sao nhìn khum hiểu gì hết vậy,Mới thi xong toán cao cấp mà sao nhìn không hiểu gì hết vậy
976,theo đúm kịch bản đê,theo đúng kịch bản đi
977,"Thấy mn cứ tranh cãi xem mùa hè nên mặc màu áo màu đen hay trắng, theo mình là nên mặc cả hai màu nhé cụ thể là phối màu như này","Thấy mọi người cứ tranh cãi xem mùa hè nên mặc màu áo màu đen hay trắng, theo mình là nên mặc cả hai màu nhé cụ thể là phối màu như này"
978,tôi thấy tôi trong này nhma tôi kh có ngiu,tôi thấy tôi trong này nhưng mà tôi không có người yêu
979,Bon vay tiền la bon đeo có liêm sỉ muốn ăn ko muốn ia,Bọn vay tiền là bọn đéo có liêm sỉ muốn ăn không muốn ỉa
980,Có con choá zà con meow á aiu,Có con chó và con mèo á anh yêu
981,Tifu dễ thương thế nài đúng là báu vật,Tifu dễ thương thế này đúng là báu vật
982,Khi nào a về làm thử xem ngon ko nha,Khi nào anh về làm thử xem ngon không nha
983,:(( t thích ăn cá điêu hồng lắm,:(( tôi thích ăn cá điêu hồng lắm
984,chời ơi đi tái khám huhu,trời ơi đi tái khám huhu
985,Báo dc nha b nhưng p có bằng chứng nha,Báo được nha bạn nhưng phải có bằng chứng nha
986,và có chị géi tỏ tình cơ mà =)))),và có chị gái tỏ tình cơ mà =))))
987,Mỗi lần khók lok ngoo ngok xong nghe lời tâm tình của cô Cẩm Lan nó thấm tới từng cục gạch ống luôn,Mỗi lần khóc lóc ngu ngốc xong nghe lời tâm tình của cô Cẩm Lan nó thấm tới từng cục gạch ống luôn
988,"may quá, éo có tóp tóp trong máy","may quá, đéo có tóp tóp trong máy"
989,ng ta mua vào và mua vào …,người ta mua vào và mua vào …
990,Xin 60 trịu đi thăm Anh mà mẹ cũng khum cho,Xin 60 triệu đi thăm Anh mà mẹ cũng không cho
991,"Lại nhớ hồi học lớp 11, đc tiếng anh điểm rất cao mà cuối kỳ cô cho 7.8","Lại nhớ hồi học lớp 11, được tiếng anh điểm rất cao mà cuối kỳ cô cho 7.8"
992,"mấy năm ko yêu ai, đến bạn bè, người thân còn sốt ruột hộ, rồi bỗng 1 ngày vấp phải của nợ trẻ trâu","mấy năm không yêu ai, đến bạn bè, người thân còn sốt ruột hộ, rồi bỗng 1 ngày vấp phải của nợ trẻ trâu"
993,T nhớ cái năn Indo đưa Pencaksilat vào thi đấu,Tôi nhớ cái năm Indo đưa Pencaksilat vào thi đấu
994,tương lai y z lun,tương lai y vậy luôn
995,Cứ như ck t dàn cảnh này đăng lên đây dằn mặt t z,Cứ như chồng tôi dàn cảnh này đăng lên đây dằn mặt tôi vậy
996,làm chiếc đi cho tình củm,làm chiếc đi cho tình cảm
997,Hướng ngờ chứ nội j,Hướng ngờ chứ nội gì
998,Nc ngoài lương nó x20 lần lương ở VN chả,Nước ngoài lương nó x20 lần lương ở VN chả
999,thấy mđ khó khăn trong chuyện thuê nhà,thấy mấy đứa khó khăn trong chuyện thuê nhà
1000,em cũng y thế nhma em bị đuổi gòi =)),em cũng y thế nhưng mà em bị đuổi rồi =))
1001,Mong rằng có nhiều đãi ngộ hơn nữa cho những vdv đã cố gắnh,Mong rằng có nhiều đãi ngộ hơn nữa cho những vận động viên đã cố gắng
1002,"Tặng thì cứ tặng, hỏi làm gì mắc công gì cx k thích k biết rồi lại lm nhau khó chịu chỉ vì ""con gái các e thật khó chiều"" ""anh k hiểu e"" =))","Tặng thì cứ tặng, hỏi làm gì mắc công gì cũng không thích khôgn biết rồi lại làm nhau khó chịu chỉ vì ""con gái các em thật khó chiều"" ""anh không hiểu em"" =))"
1003,Về mẹ thấy mắng t sấp mặt,Về mẹ thấy mắng tôi sấp mặt
1004,"Gặp t thì 1 là k ăn luôn, 2 là ng khác gắp xong có miếng trên cùng là thịt nạc thì mình gắp","Gặp tôi thì 1 là không ăn luôn, 2 là người khác gắp xong có miếng trên cùng là thịt nạc thì mình gắp"
1005,bảo sao tú dưa hông xem tóp tóp =)),bảo sao tú dưa không xem tóp tóp =))
1006,Má t cũng hướng nội =)))),Má tôi cũng hướng nội =))))
1007,Hổng nhớ lần cuối mình ăn sáng là khi nèo nựa,Không nhớ lần cuối mình ăn sáng là khi nào nữa
1008,Rui rốt cuộc nó có sạch thiệt không z,Rồi rốt cuộc nó có sạch thiệt không vậy
1009,"Xưa thôi,giờ các cháu đầy đủ zui,ko thèm lấy đâu","Xưa thôi,giờ các cháu đầy đủ vui,không thèm lấy đâu"
1010,"Chuẩn quá ạ, cho ngta vay nhưng kiểu mình mắc nợ họ","Chuẩn quá ạ, cho người ta vay nhưng kiểu mình mắc nợ họ"
1011,v là t có redflag to đùng luôn,vậy là tôi có redflag to đùng luôn
1012,Chắc chua quá ko ăn đc,Chắc chua quá không ăn được
1013,Suy nghĩ nên rep nnao nhiều quá nên tôi quyết định ghost luôn,Suy nghĩ nên rep như nào nhiều quá nên tôi quyết định ghost luôn
1014,Rứa mới đã cái nư tau,Rứa mới đã cái nư tao
1015,"Tôi biet ơn số tiền 200 triệu sẽ đang tìm đến toi ngay bây giờ , cảm ơn , cảm ơn , cảm ơn","Tôi biết ơn số tiền 200 triệu sẽ đang tìm đến tôi ngay bây giờ , cảm ơn , cảm ơn , cảm ơn"
1016,ủa sao bài kia bị xoá zị đang cmt hăng mà=)))),ủa sao bài kia bị xoá vậy đang cmt hăng mà=))))
1017,Xin vía trúng 1 tờ thôi cũm được ạ,Xin vía trúng 1 tờ thôi cũng được ạ
1018,Mà làm gì tới lượt các bạn chê CP ghê zị,Mà làm gì tới lượt các bạn chê CP ghê vậy
1019,có khi còn đàng ông hơn ngiu,có khi còn đàn ông hơn người yêu
1020,đu trend ni đc nề,đu trend này đc nè
1021,hồi trước thì hay thật bh cảm giác ông ấy cạn ý tưởng rồi nên nhạt,hồi trước thì hay thật bây giờ cảm giác ông ấy cạn ý tưởng rồi nên nhạt
1022,bữa t đng chạy xe đạp cái thấy con chó rược chạy mà cứ nhìn con chó bị chơn bánh té nó nghĩ rược luôn ÷))),bữa tôi đang chạy xe đạp cái thấy con chó rượt chạy mà cứ nhìn con chó bị trơn bánh té nó nghỉ rượt luôn ÷)))
1023,M k có nhà à:))),Mày không có nhà à:)))
1024,cb đón nhận 100 clip tiktok của tui nha pà,chuẩn bị đón nhận 100 clip tiktok của tui nha bà
1025,"Nhiều b k thích ng lên thăm zô nói như thật,cái này là nta lên 1 buổi hoặc 1 lúc thôi,chả ai đi chăm mà đi cả nhà đâu ,ăn xong r về","Nhiều bạn không thích người lên thăm vô nói như thật,cái này là người ta lên 1 buổi hoặc 1 lúc thôi,chả ai đi chăm mà đi cả nhà đâu ,ăn xong rồi về"
1026,Câu nói trend nhức nhoiis,Câu nói trend nhức nhói
1027,thiệt ra đi concert 1 mình quẫy với người chung fandom vui hơn nhiềuuu,thiệt ra đi concert 1 mình quẩy với người chung fandom vui hơn nhiều
1028,Mà bới 1 lần thì đc rồi này thấy bố mẹ ngta im im xong còn bới thêm 2 lần nữa thì nói thật bạn hơi bị thiếu tinh tế và kỹ năng sốngđấy,Mà bới 1 lần thì được rồi này thấy bố mẹ người ta im im xong còn bới thêm 2 lần nữa thì nói thật bạn hơi bị thiếu tinh tế và kỹ năng sốngđấy
1029,ăn thử chè hẻm đuy ạ=)),ăn thử chè hẻm đi ạ=))
1030,xong khóc lồi con mắt da,xong khóc lồi con mắt ra
1031,ai khai ra nè mng,ai khai ra nè mọi người
1032,Battle dí ba để học kinh tế thay vì sư phạm,Battle với ba để học kinh tế thay vì sư phạm
1033,balo t là thùng rác r,balo tôi là thùng rác rồi
1034,nhìn giống ae mình thế nhờ,nhìn giống anh em mình thế nhờ
1035,@ Anh  ôg mặc đi Hjhaaaaa,@ Anh  ông mặc đi Hjhaaaaa
